[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,tipping-point,mean-utility
84,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0,-0.16,0.2
85,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0.005,-0.16,0.2
86,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0.018,-0.16,0.2
87,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.026,-0.16,0.2
88,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.091,-0.16,0.2
89,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.146,-0.16,0.2
90,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.262,-0.16,0.2
91,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.347,-0.16,0.2
92,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.16,FALSE,1000,0.505,-0.16,0.2
93,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.15,FALSE,1000,0.666,-0.16,0.2
94,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.14,FALSE,1000,0.755,-0.16,0.2
95,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.13,FALSE,1000,0.834,-0.16,0.2
96,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.12,FALSE,1000,0.905,-0.16,0.2
97,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.11,FALSE,1000,0.942,-0.16,0.2
98,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.976,-0.16,0.2
99,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.09,FALSE,1000,0.986,-0.16,0.2
100,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.08,FALSE,1000,0.992,-0.16,0.2
101,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.07,FALSE,1000,0.995,-0.16,0.2
102,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.06,FALSE,1000,1,-0.16,0.2
103,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.05,FALSE,1000,1,-0.16,0.2
104,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.04,FALSE,1000,1,-0.16,0.2
105,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.03,FALSE,1000,1,-0.16,0.2
106,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.02,FALSE,1000,1,-0.16,0.2
107,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.01,FALSE,1000,1,-0.16,0.2
108,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,0,FALSE,1000,1,-0.16,0.2
109,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.35,FALSE,1000,0,-0.185,0.24
110,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.34,FALSE,1000,0,-0.185,0.24
111,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.33,FALSE,1000,0,-0.185,0.24
112,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.32,FALSE,1000,0,-0.185,0.24
113,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.31,FALSE,1000,0,-0.185,0.24
114,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0,-0.185,0.24
115,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0,-0.185,0.24
116,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0,-0.185,0.24
117,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0,-0.185,0.24
118,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0,-0.185,0.24
119,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0,-0.185,0.24
120,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0.009,-0.185,0.24
121,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0.024,-0.185,0.24
122,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0.07,-0.185,0.24
123,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.134,-0.185,0.24
124,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.284,-0.185,0.24
125,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.427,-0.185,0.24
126,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.573,-0.185,0.24
127,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.685,-0.185,0.24
128,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.16,FALSE,1000,0.805,-0.185,0.24
129,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.15,FALSE,1000,0.899,-0.185,0.24
130,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.14,FALSE,1000,0.94,-0.185,0.24
131,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.13,FALSE,1000,0.963,-0.185,0.24
132,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.12,FALSE,1000,0.982,-0.185,0.24
133,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.11,FALSE,1000,0.989,-0.185,0.24
134,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.998,-0.185,0.24
135,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.09,FALSE,1000,0.996,-0.185,0.24
136,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.08,FALSE,1000,0.999,-0.185,0.24
137,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.07,FALSE,1000,0.999,-0.185,0.24
138,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.06,FALSE,1000,1,-0.185,0.24
139,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.05,FALSE,1000,1,-0.185,0.24
140,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.04,FALSE,1000,0.999,-0.185,0.24
141,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.03,FALSE,1000,1,-0.185,0.24
142,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.02,FALSE,1000,1,-0.185,0.24
143,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.01,FALSE,1000,1,-0.185,0.24
144,FALSE,-4,1,6.6,1,0.4,rational,manual,0.01,1001,QV,0.5,0,FALSE,1000,1,-0.185,0.24
145,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.35,FALSE,1000,0,-0.21,0.28
146,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.34,FALSE,1000,0,-0.21,0.28
147,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.33,FALSE,1000,0,-0.21,0.28
148,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.32,FALSE,1000,0,-0.21,0.28
149,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.31,FALSE,1000,0,-0.21,0.28
150,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0,-0.21,0.28
151,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0,-0.21,0.28
152,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0,-0.21,0.28
153,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0.001,-0.21,0.28
154,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0.009,-0.21,0.28
155,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0.026,-0.21,0.28
156,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0.084,-0.21,0.28
157,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0.153,-0.21,0.28
158,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0.259,-0.21,0.28
159,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.425,-0.21,0.28
160,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.601,-0.21,0.28
161,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.745,-0.21,0.28
162,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.824,-0.21,0.28
163,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.906,-0.21,0.28
164,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.16,FALSE,1000,0.958,-0.21,0.28
165,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.15,FALSE,1000,0.983,-0.21,0.28
166,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.14,FALSE,1000,0.992,-0.21,0.28
167,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.13,FALSE,1000,0.996,-0.21,0.28
168,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.12,FALSE,1000,0.999,-0.21,0.28
169,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.11,FALSE,1000,1,-0.21,0.28
170,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.999,-0.21,0.28
171,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.09,FALSE,1000,1,-0.21,0.28
172,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.08,FALSE,1000,1,-0.21,0.28
173,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.07,FALSE,1000,1,-0.21,0.28
174,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.06,FALSE,1000,1,-0.21,0.28
175,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.05,FALSE,1000,1,-0.21,0.28
176,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.04,FALSE,1000,1,-0.21,0.28
177,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.03,FALSE,1000,1,-0.21,0.28
178,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.02,FALSE,1000,1,-0.21,0.28
179,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.01,FALSE,1000,1,-0.21,0.28
180,FALSE,-4,1,6.7,1,0.4,rational,manual,0.01,1001,QV,0.5,0,FALSE,1000,1,-0.21,0.28
181,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.35,FALSE,1000,0,-0.23,0.32
182,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.34,FALSE,1000,0,-0.23,0.32
183,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.33,FALSE,1000,0,-0.23,0.32
184,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.32,FALSE,1000,0,-0.23,0.32
185,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.31,FALSE,1000,0,-0.23,0.32
186,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0,-0.23,0.32
187,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0,-0.23,0.32
188,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0.003,-0.23,0.32
189,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0.013,-0.23,0.32
190,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0.037,-0.23,0.32
191,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0.1,-0.23,0.32
192,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0.25,-0.23,0.32
193,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0.433,-0.23,0.32
194,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0.579,-0.23,0.32
195,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.724,-0.23,0.32
196,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.852,-0.23,0.32
197,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.917,-0.23,0.32
198,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.971,-0.23,0.32
199,FALSE,-4,1,6.8,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.985,-0.23,0.32
