[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,average payoff
1,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
64,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.954,0.93775
127,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
190,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.922,0.93775
253,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
316,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93775
379,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.953,0.93775
442,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
505,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93775
568,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.946,0.93775
631,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.928,0.93775
694,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.951,0.93775
757,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93775
820,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93775
883,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
946,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
1009,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93775
1072,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.922,0.93775
1135,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.933,0.93775
1198,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
1261,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.95,0.93775
1324,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
1387,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
1450,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
1513,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.933,0.93775
1576,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93775
1639,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
1702,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
1765,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93775
1828,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93775
1891,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.954,0.93775
1954,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.928,0.93775
2017,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93775
2080,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
2143,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93775
2206,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
2269,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93775
2332,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
2395,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93775
2458,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93775
2521,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.923,0.93775
2584,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93775
2647,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.934,0.93775
2710,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
2773,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.93,0.93775
2836,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93775
2899,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93775
2962,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.951,0.93775
3025,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93775
3088,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
3151,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
3214,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
3277,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.928,0.93775
3340,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
3403,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
3466,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.933,0.93775
3529,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
3592,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
3655,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93775
3718,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.951,0.93775
3781,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93775
3844,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
3907,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93775
3970,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.948,0.93775
4033,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
4096,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
4159,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93775
4222,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.952,0.93775
4285,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.934,0.93775
4348,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
4411,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.934,0.93775
4474,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
4537,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.922,0.93775
4600,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.934,0.93775
4663,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.924,0.93775
4726,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
4789,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.934,0.93775
4852,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93775
4915,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
4978,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93775
5041,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93775
5104,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.927,0.93775
5167,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93775
5230,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93775
5293,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93775
5356,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93775
5419,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93775
5482,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
5545,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.929,0.93775
5608,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93775
5671,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.934,0.93775
5734,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.95,0.93775
5797,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93775
5860,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.946,0.93775
5923,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93775
5986,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
6049,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
6112,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
6175,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
6238,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93775
2,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
65,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93998
128,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
191,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.958,0.93998
254,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
317,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93998
380,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93998
443,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93998
506,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93998
569,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93998
632,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.922,0.93998
695,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
758,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
821,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
884,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.948,0.93998
947,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
1010,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93998
1073,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.952,0.93998
1136,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
1199,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93998
1262,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93998
1325,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
1388,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93998
1451,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93998
1514,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93998
1577,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.934,0.93998
1640,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
1703,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.954,0.93998
1766,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93998
1829,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
1892,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93998
1955,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.929,0.93998
2018,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
2081,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93998
2144,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.93,0.93998
2207,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.926,0.93998
2270,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
2333,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
2396,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93998
2459,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.923,0.93998
2522,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.93,0.93998
2585,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
2648,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.93,0.93998
2711,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
2774,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93998
2837,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
2900,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93998
2963,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
3026,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93998
3089,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.946,0.93998
3152,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93998
3215,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93998
3278,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93998
3341,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.952,0.93998
3404,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.929,0.93998
3467,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.922,0.93998
3530,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.948,0.93998
3593,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
3656,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.925,0.93998
3719,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.949,0.93998
3782,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93998
3845,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93998
3908,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
3971,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.949,0.93998
4034,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93998
4097,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.935,0.93998
4160,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93998
4223,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
4286,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.946,0.93998
4349,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93998
4412,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
4475,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93998
4538,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
4601,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93998
4664,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93998
4727,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
4790,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
4853,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
4916,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93998
4979,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93998
5042,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93998
5105,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93998
5168,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
5231,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
5294,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
5357,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
5420,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93998
5483,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93998
5546,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93998
5609,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
5672,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93998
5735,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93998
5798,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93998
5861,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.953,0.93998
5924,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93998
5987,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.948,0.93998
6050,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93998
6113,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.949,0.93998
6176,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93998
6239,FALSE,0.02,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93998
3,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
66,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
129,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
192,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
255,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
318,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.998,0.9994
381,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
444,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
507,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
570,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
633,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.998,0.9994
696,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
759,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
822,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
885,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
948,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1011,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
1074,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1137,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1200,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
1263,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.998,0.9994
1326,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1389,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
1452,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
1515,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1578,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
1641,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1704,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1767,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
1830,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1893,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
1956,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2019,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2082,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2145,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
2208,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2271,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
2334,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2397,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2460,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2523,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
2586,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
2649,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.998,0.9994
2712,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.998,0.9994
2775,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
2838,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
2901,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.998,0.9994
2964,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
3027,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
3090,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
3153,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
3216,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,1,0.9994
3279,FALSE,0.1,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.999,0.9994
