[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
158,1001,5,1,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,1
159,1001,5,1,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,1
160,1001,5,1,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,1
162,1001,5,1,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,1
163,1001,5,1,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,1
164,1001,5,1,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,1
161,1001,5,1,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,1
165,1001,5,1,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,1
166,1001,5,1,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,1
167,1001,5,1,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,1
168,1001,5,1,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,1
169,1001,5,4,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,1
170,1001,5,4,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,1
171,1001,5,4,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,1
173,1001,5,4,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,1
172,1001,5,4,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,1
174,1001,5,4,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,1
175,1001,5,4,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,1
176,1001,5,4,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,1
177,1001,5,4,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,1
178,1001,5,4,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,1
179,1001,5,4,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,1
180,1001,5,4,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,1
181,1001,5,4,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,1
182,1001,5,4,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,1
183,1001,5,4,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,1
184,1001,5,4,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,1
185,1001,5,4,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,1
186,1001,5,4,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,1
187,1001,5,4,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,1
188,1001,5,4,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,1
189,1001,5,4,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,1
