[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,calibration,marginal-pivotality,variance-of-perceived-pivotality,mpp-divided,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
135,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,10,FALSE,FALSE,1p1v,1000,0.627,2.188391864,10.34090802,-2.352,7.056194859,0.627
134,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,1,FALSE,FALSE,QV,1000,0.875,6.821604615,7.909691468,2.707690539,5.162375059,0.627
137,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,100,FALSE,FALSE,1p1v,1000,0.651,2.625608568,10.20311984,-1.924,7.064001991,0.651
136,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,10,FALSE,FALSE,QV,1000,0.868,6.999869178,8.063357187,0.285193535,0.5224846,0.63
139,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,1,FALSE,FALSE,1p1v,1000,0.633,2.260304116,10.68239313,-2.412,6.963242258,0.633
138,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,100,FALSE,FALSE,QV,1000,0.873,7.019725998,7.700384509,0.029974314,0.049937791,0.633
141,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,10,FALSE,FALSE,1p1v,1000,0.597,1.766336974,10.26726544,-2.48,6.882511821,0.597
140,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,1,FALSE,FALSE,QV,1000,0.868,6.411080444,7.78963359,2.673975386,5.027926954,0.634
143,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,100,FALSE,FALSE,1p1v,1000,0.645,3.239743459,10.62196721,-1.832,7.289507042,0.645
142,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,10,FALSE,FALSE,QV,1000,0.886,6.814049695,7.762419076,0.266170325,0.512585793,0.638
144,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,100,FALSE,FALSE,QV,1000,0.862,6.894538983,8.350877187,0.029721944,0.051886848,0.637
145,101,0,0,1,10,1,1. prop8-mean>0,0.5,0,1,FALSE,FALSE,1p1v,1000,0.49,0.806768783,16.95911996,-4.392,10.00572089,0.49
146,101,0,0,1,10,1,1. prop8-mean>0,0.5,0,1,FALSE,FALSE,QV,1000,1,11.98985581,10.95291167,5.182394695,6.251608223,0.527
147,101,0,0,1,10,1,1. prop8-mean>0,0.5,0,10,FALSE,FALSE,1p1v,1000,0.523,1.353371996,16.56829435,-4.402,10.15822748,0.523
148,101,0,0,1,10,1,1. prop8-mean>0,0.5,0,10,FALSE,FALSE,QV,1000,1,12.85129891,11.10237265,0.579336799,0.620880516,0.484
149,101,0,0,1,10,1,1. prop8-mean>0,0.5,0,100,FALSE,FALSE,1p1v,1000,0.496,0.669036471,16.33508356,-4.468,9.632952287,0.496
150,101,0,0,1,10,1,1. prop8-mean>0,0.5,0,100,FALSE,FALSE,QV,1000,1,12.7607141,11.00860895,0.056272234,0.062729365,0.519
151,101,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,1,FALSE,FALSE,1p1v,1000,0.504,1.263834732,16.22723186,-4.122,9.668432892,0.504
153,101,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,10,FALSE,FALSE,1p1v,1000,0.488,0.065469892,16.13550071,-4.272,9.823569541,0.488
152,101,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,1,FALSE,FALSE,QV,1000,0.993,12.94390169,10.90051015,5.697010274,6.25782719,0.482
154,101,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,10,FALSE,FALSE,QV,1000,0.996,13.44337788,11.023004,0.603485602,0.626629071,0.498
155,101,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,100,FALSE,FALSE,1p1v,1000,0.519,1.337689168,16.36511254,-4.264,10.14382577,0.519
156,101,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,100,FALSE,FALSE,QV,1000,0.991,12.8798099,10.46857966,0.058051163,0.059539605,0.498
