u,v
-0.020556932,-0.273417978
-0.031809355,-0.555891923
0.072311761,0.968269851
0.036640059,0.443112108
0.043988892,0.718343239
0.074630611,0.807463178
-0.031203892,-0.42463265
0.057198945,0.337792655
-0.062056944,-0.986299522
0.05183396,0.675947673
-0.035104337,-0.284909855
-0.055633004,-0.567140706
-0.036207885,-0.537616607
-0.021212679,-0.988877751
0.066399817,0.408287939
-0.008558604,-0.485360278
-0.058569749,-0.797778227
-0.024343515,-0.110566906
-0.026540487,-0.310918587
0.029970978,0.973170396
-0.088084266,-0.979686956
0.04842057,0.328365891
0.067119385,0.396413178
0.054867164,0.579337798
-0.072990805,-0.560855349
-0.01604377,-0.09554359
-0.080956554,-0.834602884
-0.042628505,-0.669826704
-0.054830618,-0.976584263
-0.099222709,-0.950764529
-0.011837835,-0.624759721
-0.090764112,-0.642556265
-0.036227503,-0.753060449
-0.045504613,-0.299958447
0.084147018,0.537839612
0.06261343,0.71089752
0.072943708,0.263753799
0.040446308,0.796366011
0.065409377,0.894708348
0.047887549,0.618337053
-0.033625421,-0.387197113
0.010072791,0.060005679
-0.063442454,-0.980703968
0.054719871,0.704486564
0.216977948,0.998853095
0.039311723,0.521568315
-0.034142571,-0.214750062
0.059389157,0.998826551
0.068211299,0.721608831
-0.058259556,-0.851283466
0.017536757,0.322195032
0.03344544,0.258106861
-0.057385747,-0.493726922
0.040725036,0.506700011
0.064388476,0.739290768
-0.06755214,-0.768947872
-0.056929349,-0.988515137
-0.056441299,-0.788908506
-0.00955202,-0.170732379
-0.072797285,-0.473473217
0.057186313,0.419240322
-0.069991186,-0.378712513
0.079483996,0.853558627
0.041124638,0.205203413
0.058519216,0.392598548
-0.073382075,-0.985689771
0.10747799,0.685820379
0.024797249,0.176644847
-0.008411408,-0.391920984
-0.009686377,-0.41166479
-0.030957535,-0.154623565
-0.010176629,-0.109140445
-0.053916291,-0.960057978
0.056149491,0.723376179
0.019016072,0.170245536
-0.009733592,-0.045272734
0.061855942,0.301290789
-0.053234147,-0.477701597
-0.049505839,-0.660067965
0.005154858,0.04783675
0.026317931,0.609179239
0.011269791,0.096583106
-0.052660769,-0.732467271
-0.038838208,-0.468967027
0.00654471,0.045055182
-0.081145289,-0.607315403
-0.033952102,-0.365391215
0.050965559,0.364945777
-0.086622352,-0.889742623
0.018474725,0.196505194
0.064298568,0.593517218
-0.026963541,-0.140919928
-0.060173054,-0.468930049
0.057489345,0.320177769
0.098891144,0.910104273
-0.064571068,-0.244488957
-0.054424996,-0.369282343
0.080111052,0.725331617
0.060052434,0.569004749
0.042934472,0.88278354
0.014348357,0.235955568
0.026043373,0.771421414
0.093643251,0.728443014
0.058720392,0.513617776
