u,v
0.015797343,0.046118423
0.220147821,0.527187254
-0.010418556,-0.040175383
0.054276855,0.149323118
0.038954217,0.13025511
0.103150435,0.342390773
-0.052037748,-0.25828606
0.03248567,0.135908037
0.051928491,0.184706991
0.046457003,0.173340102
-0.063603459,-0.27931772
-0.025794484,-0.217546833
0.055264947,0.252551261
-0.046466708,-0.298266799
-0.031097783,-0.12210204
0.056000735,0.245001519
0.063954421,0.367337957
0.048006266,0.474014841
0.089325603,0.780648698
0.066772959,0.297986432
-0.073808327,-0.28243982
-0.038676378,-0.147988209
-0.035651232,-0.274481253
-0.01139767,-0.050075101
0.029735457,0.281430443
-0.053136355,-0.166984279
-0.073286897,-0.317701351
-0.070660876,-0.245737352
-0.08573879,-0.304899541
-0.038807608,-0.159455365
0.007624943,0.049236368
0.124867419,0.428164524
-0.073357645,-0.287847235
-0.023417299,-0.137514834
0.021029514,0.12323219
0.0470401,0.189044122
-0.058561379,-0.26523798
-0.041925112,-0.117532948
0.04203254,0.282108172
-0.035281961,-0.382657629
0.05912198,0.278315571
-0.068252782,-0.345363887
-0.024593719,-0.07834944
-0.051128317,-0.21389193
0.047064275,0.219525189
0.025600158,0.066390901
0.011879755,0.042623608
0.032513505,0.124545106
0.030093556,0.124033297
-0.01037066,-0.048310468
-0.082676362,-0.354414234
0.069764761,0.747263963
0.04957343,0.214434082
-0.068536377,-0.295269673
-0.050932952,-0.308732408
0.015160495,0.087162415
-0.037807575,-0.261396737
-0.064445602,-0.456085845
0.068964161,0.330357748
-0.058083424,-0.694403119
0.029051391,0.456558858
-0.07541784,-0.291529395
0.033157607,0.116026261
-0.089748159,-0.442147644
0.043825567,0.239632282
-0.031992144,-0.161104637
-0.088588365,-0.286582871
0.004377836,0.039013835
-0.034328481,-0.168669147
0.072905309,0.256977767
0.073458059,0.383697369
0.033031102,0.150220924
-0.045917615,-0.253439451
0.031353968,0.120477133
-0.02742818,-0.191029529
-0.106443333,-0.702686735
0.053181601,0.307122284
-0.060508722,-0.442671248
0.080946026,0.398698015
0.191677296,0.623515775
-0.099019214,-0.54613724
-0.072198777,-0.181635662
-0.038626719,-0.21030659
0.088477335,0.292549575
0.030754356,0.097502952
-0.056047636,-0.244375927
0.090847627,0.381214979
0.124895514,0.606301602
-0.071676338,-0.332271118
0.054395176,0.188050258
-0.033339711,-0.241350699
0.071172871,0.405227527
0.068412243,0.355668135
0.097707444,0.329626441
-0.021285486,-0.128763698
-0.047228333,-0.301242378
-0.074338109,-0.261636314
0.055509044,0.274393323
-0.061200595,-0.184766392
-0.055360769,-0.252314494
0.048769244,0.184652751
-0.011121095,-0.048269753
0.265955024,0.742701191
-0.053560012,-0.19453936
-0.082530783,-0.477379139
0.066021862,0.253078231
-0.05867765,-0.313513905
0.029136331,0.079180977
-0.046540297,-0.376666435
-0.005432212,-0.022265186
-0.078447765,-0.479577007
-0.057198185,-0.270651455
0.042561894,0.332294041
0.071763429,0.277708233
0.04400948,0.202947627
0.026978153,0.099100589
0.018535246,0.055224053
0.0031926,0.010614916
0.06145388,0.309200379
-0.074858188,-0.183118009
0.278918284,0.783704661
-0.052778416,-0.166355577
0.078252136,0.391052938
0.048458295,0.240383669
0.037165619,0.138981878
-0.053203279,-0.496255446
0.071545947,0.341641133
-0.048705068,-0.151404797
0.064116989,0.216929638
0.19345897,0.582994643
-0.018058625,-0.067942378
0.04940519,0.180295067
-0.043945454,-0.143735542
-0.063652555,-0.578135505
-0.040768409,-0.121051349
0.045005663,0.155327216
0.090560704,0.471282386
-0.013182611,-0.094828408
0.089908604,0.363491642
-0.001881506,-0.010023353
0.038386149,0.178760032
0.003312411,0.008479702
-0.05785623,-0.493942282
-0.057631708,-0.296591027
-0.048298515,-0.322179778
-0.086003512,-0.58216851
-0.059021723,-0.28039834
-0.002127905,-0.008628013
0.085202329,0.434380002
-0.058747264,-0.25676808
0.023505802,0.099118487
0.061730726,0.205082075
0.069136502,0.403765494
-0.01576828,-0.101195921
-0.048023262,-0.167669627
-0.016181595,-0.116520296
0.053427552,0.26989368
-0.059748384,-0.517826951
0.030645302,0.162518549
-0.047619875,-0.25192511
0.079147907,0.378971047
0.058773869,0.362943834
0.053277281,0.248424167
-0.039327792,-0.218229072
-0.032926195,-0.131131928
-0.054977611,-0.38953367
0.034451031,0.211985445
0.053704091,0.35275597
0.075715838,0.346551008
-0.020656484,-0.070234527
0.172440923,0.64883452
0.052603266,0.291131756
-0.071662514,-0.31856191
-0.046221753,-0.283964969
-0.057084007,-0.48083127
0.011959297,0.035762628
-0.050279941,-0.231325121
-0.06511931,-0.28663798
0.087441704,0.242256566
-0.030591044,-0.135579824
-0.073256858,-0.339054867
0.029728262,0.165131271
0.030661098,0.101314467
0.037691934,0.172287843
0.017790014,0.071774562
-0.072888043,-0.232475418
-0.001444503,-0.004085101
0.092477151,0.476588283
-0.066526926,-0.501336846
-0.036653191,-0.129030525
0.059500602,0.230400603
-0.096109733,-0.271484189
-0.082364232,-0.787456653
-0.056951987,-0.499690694
0.062170525,0.395256607
-0.080398045,-0.346431881
0.016811974,0.085095061
0.17012456,0.667751354
0.062033026,0.347113255
-0.067781659,-0.396971078
0.027918897,0.221273534
-0.064988003,-0.272341225
-0.028568352,-0.130792668
-0.037422597,-0.319533819
0.028247554,0.140416322
0.03416532,0.174527719
-0.027436273,-0.130620326
-0.050447611,-0.332819807
0.044891239,0.112254437
-0.04270202,-0.199316921
0.144906953,0.542535075
-0.016361467,-0.07213139
